user_id,user_screen_name,user_name,user_ location,user_description,Geo: ,coordinates,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,place,is_retweet
1500082363615019010,PrasanjoyD,Prasanjoy Dolai,,,,,2022-03-04 15:55:45+00:00,0,1,14,False,2022-03-05 12:14:40+00:00,RT @harbhajan_singh: Well done @imjadeja brilliant 100 keep going .. ( rockstar )the name was given to him by greatest ever @ShaneWarne @BC…,,Twitter for Android,,False
1500082362218020864,Singh_Ro45,𝖎𝖓𝖘𝖕𝖎𝖗𝖆𝖙𝖎𝖔𝖓𝖆𝖑_45®ʀᴀᴊɴᴀɴᴅᴀɴɪ ꜱɪɴɢʜ®🦁,"Bengaluru, India","Nothing important more than Rohit Sharma👈Rohit Sharma is not just a star ⭐he's an emotion of mine
#MumbaiIndans
#BeauticianKnowledgeable💄 
PROUD #भूमिहार  😎",,,2020-11-01 14:08:48+00:00,671,499,15814,False,2022-03-05 12:14:39+00:00,"RT @StarSportsIndia: ""𝐼𝑡'𝑠 𝑎 ℎ𝑢𝑔𝑒, ℎ𝑢𝑔𝑒 𝑙𝑜𝑠𝑠 𝑖𝑛 𝑜𝑢𝑟 𝑐𝑟𝑖𝑐𝑘𝑒𝑡𝑖𝑛𝑔 𝑤𝑜𝑟𝑙𝑑."" -@ImRo45 on the void left by #ShaneWarne

Hear his thoughts on the l…",['ShaneWarne'],Twitter for Android,,False
1500082359206813698,EslavathRoshan,Roshan eslavath,,,,,2022-01-03 17:10:52+00:00,0,42,433,False,2022-03-05 12:14:39+00:00,RT @megopichand: Rip king of spin. Heartbreaking #ShaneWarne 🙏 https://t.co/0M4pMBDxpl,['ShaneWarne'],Twitter for Android,,False
1500082319998488581,Sandeep88475726,Sandeep Yadav,,,,,2021-10-02 14:33:19+00:00,0,4,25,False,2022-03-05 12:14:29+00:00,RT @ShubmanGill: Can't believe while writing this. I grew up watching his bowling on TV. One of the greatest spinners of all time. Thank yo…,,Twitter for Android,,False
1500082318299574276,mustaaandaaaaa,Gujjar🇵🇰🇺🇸🇨🇦,,,,,2022-01-12 16:12:52+00:00,3,34,152,False,2022-03-05 12:14:29+00:00,RT @FakharZamanLive: Heartbroken about @ShaneWarne’s news. Rest in peace legend. https://t.co/FcbOaHK4yq,,Twitter for iPhone,,False
1500082308505735168,RebelNanaji1,Rebel Nanaji@,,"రమయ్యపట్నం,vizage",,,2020-10-23 06:01:42+00:00,12,123,11434,False,2022-03-05 12:14:27+00:00,"RT @IamSaiDharamTej: Shocking and Heart-wrenching at the demise of Legendary spinner #ShaneWarne 💔

Black day for the World of Cricket.
May…",['ShaneWarne'],Twitter for Android,,False
1500082297529192449,shaikh_kahaf,Kahaf Shaikh,,Reality is often disappointing,,,2022-01-18 08:48:48+00:00,0,1,113,False,2022-03-05 12:14:24+00:00,"#ShaneWarne

Wizard of spin 👑👑",['ShaneWarne'],Twitter for Android,,False
1500082277501607940,nadeemcharagh,Muhammad Nadeem,,"I have been supporting Imran Khan since 2011.
 My aim or wish is to eradicate the dark Era prevailing in our country which is only possible due to Imran Khan.",,,2012-08-23 13:18:39+00:00,1441,1017,348587,False,2022-03-05 12:14:19+00:00,"RT @Kan__Fatima: Pepsi advertisement when 24 years ago Australian cricket team toured Pakistan. Shane Warne you will be missed. ❤️
#Cricket…",['Cricket'],Twitter for Android,,False
1500082275958104064,JiPearce1972,John Pearce,,,,,2022-01-25 14:15:49+00:00,0,4,1,False,2022-03-05 12:14:19+00:00,"@robbid01 @anshuld90 @ShaneWarne Who knows what caused the heart attack, that's for the autopsy to find out.  A lot of perfectly healthy athletes have had heart attacks (Christian Eriksen was saved by prompt medical attention at last years Euros).  This could have been an underlying condition not spotted.",,Twitter Web App,,False
1500082273223606274,TSM9490,TSM,Australia ,This isn’t MySpace,,,2012-06-11 12:48:05+00:00,152,731,12587,False,2022-03-05 12:14:18+00:00,"@shalailah I guess you listened to me! But then doubled down! Are you a different kind of stupid? Why to cancel yourself, must be a great day defending your silly decisions all day! #ShaneWarne #ShaneWarneRIP #Stupidity #stupidtweet #RIPShaneWarne https://t.co/2Gb8u194T9",,Twitter for iPhone,,False
1500082272371834880,GokulSa26077432,PSPK,,PSPK INDIA FAN,,,2021-04-22 15:38:31+00:00,35,23,13804,False,2022-03-05 12:14:18+00:00,"RT @Cricketracker: Shane Warne must be proud of @imjadeja watching from heaven.

#RavindraJadeja #ShaneWarne #INDvSL https://t.co/upCOtWc5Ge","['RavindraJadeja', 'ShaneWarne', 'INDvSL']",Twitter for Android,,False
1500082271038361603,jawednwd,Śhahnawaz Äĺám©️(شہنواز عالم ♑) 🌿🌿𓃵𓃵,"Jharkhand, India","ना जियों धर्म के नाम पर, ना मरो धर्म के नाम पर।
इंसानियत ही हैं धर्म वतन का, बस जियों वतन के नाम पर।। 👉 @jawednwd 💯% fb (Unfollower I'm watching 👀👁 U)",,,2010-06-21 00:15:11+00:00,5417,5606,8027,False,2022-03-05 12:14:18+00:00,"Cricket's Iconic Player @ShaneWarne is no more but he will always live in every heart ♥ of Cricket fan‼️
 #RIPShaneWarne #Australia #ShaneWarneRIP https://t.co/mhCH1cXrSa",,Twitter for Android,,False
